status_id,text
1457400488039788500,At what point will the #commoncore integrate #compsci and #netizenship into curriculums for countries that are deeply dependent on #technology as a learning ‘solution’?
1457367800985628700,"@MaggieEThornton If enough were gathered could run a discourse analysis, but the gold standard would be to do something like Supovitz's #CommonCore project https://t.co/qROBwDpJCZ"
1457067681887174700,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
1.4567208425791201e+18,"#CCChat (Common Core Chat)
90) #CCSS (Common Core State Standards)
91) #CommonCore
92) #EdPolicy
93) #EdReform
94) #ESSA https://t.co/IRYo2HCr41"
1456682978139062300,6 ways to incorporate digital writing across the curriculum https://t.co/ISp4J9Pwnk #ccss #eBooks #digitalstorytelling https://t.co/tJpBZCdbMf
1456599846874501e3,Top 10 Reasons Why Standardized Testing Is Here to Stay https://t.co/5cSYQragyv #commoncore
1456599279972327400,"""I’ve had students who take home essays and they will misspell ‘American’ and forget to capitalize it.” Thanks #commoncore! https://t.co/3b4ZRrI6pj"
1454779277333962800,"""Again, I can’t be sure that I’m right. Maybe it was #CommonCore"" @MichaelPetrilli 
""It was #commoncore."" @CapitolAdvocate https://t.co/bKFbvxElDX"
1456417576792338400,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
1456248989284802600,"@4Patrick7 @BookerSparticus What an ignoramus. What possible excuse is there for someone too old to blame #commoncore? Willful blindness, partisanship and tearing the social fabric of America."
1456245852922695700,A lot of the crt debate reminds me of the common core math debate. Parents just upset something is new and different combined with isolated examples of bad lesson plans. Been a while since I heard complaints about common core math....  #CRT #commoncore #teaching
1456099768854216700,"#Republicans have been uniting us around #Florida #CommonCore for over 10 years now and #NewMexico launched ""it"" @ the grassroots level so not sure why #CRTinschools would be a threat to the #energy holding the #Anonymous #QANON Attack the Capitol agct #DNA connections together?"
1456095676501266400,"Listen to ""Episode 19: Big Lies in K-12""  (Nov. 3, 2021) at  https://t.co/UWaMsLUGAt 
#phonics   #constructivism   #commoncore  #dumbingdown  #socialism"
1456086320984432600,"The Shrewd Administrator
#E320CannabisStudy
#E320Leadership 
#E320Education 
#NVACS #CCSS #NGSS #ISTE 
https://t.co/eUGV6whHGv"
1456069317582368800,Never forget #CommonCore! https://t.co/co0UCdphI5
1456064980021915600,"@Tori_Sachs @GovWhitmer Charter backers hold no moral high ground 

@MiGOP's (@onetoughnerd @MISenate @MI_Republicans @pjcolbeck ) had an opportunity to give parents a voice - primarily by removing DC's &amp; Lansing's stranglehold over local curriculum

But they threw #StopCommonCore advocates #UnderTheBus"
1456001375054307300,"🥜 job #AWFL on airplane doesn’t want to breathe the “unvaccinated oxygen”of the passenger next to her.  
#commoncore #Science #edumacation #education #COVIDIOTS #COVID19"
